,0
0,39065
1,78380
2,306959
3,383760
4,503148
5,2703701
6,3034317
7,3315192
8,3745205
9,6137152
10,14712808
11,17519038
12,17591657
13,21169259
14,22370724
15,23600351
16,27662686
17,29183803
18,0
19,54806477
20,55336451
21,55415229
22,58018628
23,58253502
24,0
25,63015176
26,68721879
27,82261331
28,87589501
29,91742496
30,97096272
31,97245285
32,122892429
33,131554038
34,133657840
35,134158443
36,134225577
37,136243712
38,140393542
39,141676466
40,141704556
41,142140704
42,145551171
43,150566750
44,153304140
45,154140062
46,155987733
47,156550719
48,156943328
49,157925581
50,164388180
51,166584658
52,169422146
53,169701587
54,173677167
55,174053722
56,174794314
57,177040285
58,180281270
59,183794274
60,190332289
61,191216534
62,192960349
63,193259331
64,201713530
65,202384255
66,203319836
67,205960115
68,209149607
69,209567974
70,212977222
71,213470649
72,218332968
73,220421028
74,224275007
75,230422142
76,234396339
77,236540103
78,244441164
79,245410942
80,247007843
81,247061059
82,252336761
83,256255130
84,259562940
85,262051746
86,264180604
87,265520218
88,272067864
89,277393227
90,0
91,288759683
92,289676133
93,294493357
94,307110655
95,320678206
96,323551748
97,0
98,0
99,326616678
100,329115491
101,350961363
102,372435464
103,377697171
104,0
105,0
106,468014484
