,0,1
0,5077980,1
1,6920001,2
2,7945933,1
3,9016705,2
4,9386902,1
5,9540736,1
6,9917139,1
7,10165792,1
8,10712658,2
9,10719362,1
10,10929563,1
11,10951968,1
12,11357532,1
13,11433705,1
14,11437510,2
15,11579070,1
16,11683319,1
17,11766448,1
18,11978717,1
19,12201471,1
20,12253083,2
21,12319618,2
22,12946101,1
23,13147571,1
24,13303368,1
25,13352056,1
26,13519978,1
27,13708333,1
28,13852347,1
29,14028002,1
30,14472567,1
31,14551478,1
32,15151289,2
33,15535674,2
34,15558142,2
35,16501731,1
36,16823124,1
37,17029740,1
38,17082459,1
39,17139458,1
40,17310912,2
41,17428273,1
42,17432667,1
43,17514192,2
44,17699933,2
45,17744095,2
46,17951487,1
47,17955126,1
48,18294837,1
49,18304061,2
50,18606491,2
51,18670467,1
52,18762597,1
53,19091581,1
54,19140632,1
55,19230704,1
56,19292008,2
57,19345259,1
58,19364198,2
59,19605117,1
60,19864748,1
61,19891092,1
62,20638830,1
63,20723908,1
64,20757028,2
65,21043319,1
66,21087495,2
67,21223068,1
68,21372805,1
69,21451964,1
70,21456231,2
71,21613066,2
72,21749963,1
73,21812787,2
74,22076198,1
75,22209502,2
76,22293023,2
77,22574948,1
78,22709323,1
79,22786244,1
80,23093960,1
81,23730259,2
82,23754880,2
83,23798903,2
84,23910082,1
85,23922479,2
86,24327529,1
87,24427360,2
88,25085864,2
89,25095267,1
90,25129871,2
91,25387905,1
92,25410035,2
93,25523559,2
94,25531620,1
95,25596883,1
96,26373773,2
97,26636700,1
98,26669551,1
99,26778710,2
100,26841875,1
101,27319613,2
102,27504300,1
103,28194971,2
104,28264650,1
105,28387477,1
106,28439235,2
107,28457598,1
108,28475954,1
109,28780303,1
110,28791299,2
111,28860916,1
112,28917976,2
113,29100639,1
114,29234647,1
115,29305744,2
116,29435409,1
117,29453892,2
118,29496030,1
119,29609746,1
120,29792232,2
121,29800469,2
122,29862093,2
123,29912714,2
124,29940289,1
125,30038606,1
126,30316926,1
127,30378611,1
128,30453628,1
129,30542122,1
130,30550611,1
131,30599825,1
132,30619803,1
133,30771625,1
134,31048228,2
135,31091470,2
136,31129497,2
137,31472571,1
138,31534117,1
139,31992755,1
140,32114779,1
141,32289439,2
142,32349749,1
143,32416024,1
144,32612833,1
145,32984984,1
146,33127316,1
147,33168808,1
148,33198220,1
149,33534566,2
150,33687119,1
151,33853796,1
152,34072791,1
153,34484418,1
154,34634081,1
155,34689310,1
156,34888907,1
157,35089599,1
158,35477885,1
159,35529178,1
160,35721141,1
161,36135833,1
162,36160811,1
163,36253675,2
164,36377942,1
165,36467325,1
166,36934459,1
167,37111747,1
168,37393717,1
169,37462297,1
170,37551262,1
171,37569975,1
172,37633753,2
173,37666496,2
174,37801346,1
175,37835225,1
176,38359436,1
177,38476559,2
178,38688725,2
179,38950885,1
180,39304356,1
181,39311106,2
182,39333484,2
183,39504143,2
184,39840827,1
185,40048749,2
186,40151847,1
187,40222006,1
188,40320768,2
189,40383384,2
190,40426629,2
191,41091475,1
192,41354777,1
193,41645707,1
194,41771711,1
195,41844834,1
196,41900668,1
197,42099443,1
198,42146614,1
199,42204916,1
200,42496326,2
201,43041320,2
202,43342359,1
203,43436127,1
204,43812863,1
205,43851665,2
206,44021641,1
207,44188973,1
208,44860980,1
209,45053366,1
210,45634401,1
211,45697711,1
212,45818421,2
213,46685905,2
214,47252333,2
215,48060056,1
216,48415739,1
217,48587627,1
218,48806282,2
219,49527183,1
220,49652160,1
221,49716775,1
222,50091370,1
223,50236357,1
224,50320955,1
225,50341053,1
226,50586462,1
227,51156830,1
228,51331920,1
229,51333348,1
230,51419337,1
231,51502183,2
232,51662285,1
233,51739270,1
234,51751413,1
235,52007783,2
236,52047046,1
237,52135965,1
238,52222359,2
239,52288691,1
240,52332594,1
241,52404389,1
242,52410376,1
243,53119365,1
244,53414627,1
245,53849452,1
246,54035763,1
247,54058533,1
248,54091629,1
249,54254431,1
250,54449813,2
251,54500199,2
252,54503032,2
253,54725223,1
254,54919222,1
255,54962510,1
256,55029520,2
257,55450907,1
258,55513762,1
259,55795804,1
260,55861091,2
261,56032004,2
262,56195424,2
263,56258011,2
264,56512283,2
265,57071357,2
266,57397787,2
267,58302639,1
268,58356277,2
269,58404408,1
270,58612836,1
271,58877493,1
272,59022341,1
273,59067037,1
274,59114894,2
275,59129646,1
276,59959206,1
277,60262120,1
278,60350174,1
279,60616280,1
280,60690803,2
281,60953425,2
282,61092611,1
283,61349409,1
284,62187521,2
285,62226344,1
286,62246389,1
287,62251897,1
288,62343664,2
289,62451929,1
290,62502011,1
291,63326489,2
292,63592015,2
293,63800394,2
294,64039963,1
295,64158538,1
296,64456795,1
297,64641736,1
298,64661697,1
299,64921968,1
300,65140698,1
301,65519363,2
302,65605800,2
303,65680476,1
304,65846894,1
305,66808174,1
306,67043659,1
307,67264106,1
308,67284424,1
309,67430172,1
310,67667182,1
311,67859849,1
312,67877957,1
313,68018273,1
314,68329984,1
315,68510919,2
316,68570191,1
317,68781818,1
318,69087361,1
319,69099917,1
320,69240785,1
321,69505425,1
322,69717127,2
323,70212598,2
324,70233667,2
325,70248434,1
326,70281076,2
327,70352864,1
328,70371792,1
329,70498946,1
330,70656126,1
331,71258514,1
332,71289595,2
333,71346968,1
334,71403828,1
335,71425015,1
336,71531064,1
337,71581704,1
338,71631111,1
339,71826076,1
340,71852567,1
341,71869368,1
342,72080548,1
343,72089310,1
344,72518256,1
345,72666515,2
346,72772575,2
347,72912390,1
348,73044936,1
349,73047856,1
350,73179025,2
351,73219403,1
352,73244234,1
353,73277086,1
354,73856804,1
355,73987788,1
356,74440142,2
357,74517407,2
358,75763194,1
359,75805171,2
360,75835301,2
361,76124641,2
362,76363369,2
363,76538305,1
364,76652297,1
365,76669812,1
366,76708169,1
367,76801195,1
368,77324119,1
369,77855822,1
370,78009797,2
371,78062293,1
372,78301823,1
373,78594644,1
374,78778357,1
375,79679013,2
376,79820931,1
377,80103510,1
378,80829168,1
379,81076894,2
380,81624463,1
381,81760697,1
382,81776048,1
383,81781731,1
384,81788752,2
385,81921435,1
386,81960117,2
387,82344400,1
388,82428566,2
389,82447626,2
390,82453922,1
391,83200650,1
392,83333341,1
393,83473843,1
